,total_index,제품명,customerID,score,comments
0,12,감그린레귤러,eunm*****,4.0,예상했던 맛은 아니어서 ...
1,12,감그린레귤러,eg****,4.0,큰거먹다 남기는게 싫어서 조그마한 거 시켰더니 양이좀부족하네요 ㅋㅋ
2,20,감자술13,pala***,4.0,한달사용기감자로 만들어서 감자향이 날줄 알았는데 감자향의 거의 없네요.. 그냥 청주느낌
3,20,감자술13,sldi****,5.0,선물용으로 구매해서 맛은 모르겠으나 포장꼼꼼히 배송빠르게 잘왔어요.
4,20,감자술13,blue*******,4.0,한달사용기부드럽게 잘 넘어가요.
5,20,감자술13,shha*****,5.0,포장도 잘해주시고 맛도있어요
6,20,감자술13,solo****,5.0,재구매..빠른 배송에 감사드립니다
7,20,감자술13,su****,5.0,감자맛인지 달짝지근 진한맛이라 맛나요
8,20,감자술13,asd9*****,5.0,받자마자 저넉에 반주로 남편과  한잔  했어요~~^^  색깔이 화이트와인처럼  밁고 향도  부드럽고 은은하게  너무  맛있어요 ~~^^ 독한술을 안좋아하는데  여쟈가 먹기에도  너무좋은 13° 밖에안되요^^ 감자술은 처음이라  어떨까  했는데  너무 좋아요~~ 술 한두병은 금방인데  더 살걸 그랬어요^^ 재주문 하러 올게요~~더보기
9,20,감자술13,hhel****,5.0,사케같았어요! 감자술은 처음 봤는데 맛있네요
10,20,감자술13,gung****,5.0,맛있어요 안전하게 배송되서 좋아요
11,20,감자술13,ohjw****,5.0,마시셔요 달콤해여 마시셔
12,20,감자술13,blue*******,4.0,빠른 배송 감사합니다.
13,20,감자술13,alfm*****,5.0,사케 마시는 너낌ㅎㅎ
14,20,감자술13,irud******,5.0,빠른배송감사합니다.
15,20,감자술13,meer***,5.0,배송이 빠르고 포장이 깨지지않게 정성스럽게 왔습니다
16,20,감자술13,jksk***,5.0,감자술 깔끔하고 맛 좋아요
17,20,감자술13,janu*******,5.0,잘먹겠습니다~~~~~~
18,20,감자술13,sooj*******,5.0,완전 부드럽고 착 감기는 향기로운맛 강추강추
19,20,감자술13,whgu******,5.0,재구매너무 맛있어요..감자술 !
20,20,감자술13,lapu***,5.0,재구매포장도  잘되어  있고 소주처럼 알콜맛 안나고 아주좋아요
21,20,감자술13,lapu***,5.0,정말 부드럽고 좋아요
22,20,감자술13,rasv****,5.0,맛있게 먹었습니다. 요것도 맛있어요
23,20,감자술13,amar***,5.0,전통주 파티 했어요! 감자술이라고 고소한 감자 맛이 날거라 생각하면 전라도 오산 그냥 청하 느낌의 향이 좋은 술입니다 가볍게 먹기 좋은 술이에요  우렁이쌀 청주보다는 향이 약하지만 이 나름의 매력이 또 있습니다 저는 우렁이쌀 청주 > 감자술 > 서설 순서로 요 부류 술에 별점을 줄 것 같아요 ㅋㅋㅋ더보기
24,20,감자술13,eyes******,5.0,포장 꼼꼼해서 좋아요.
25,20,감자술13,tubi***,5.0,전통술 종류도 많고 가격도 합리적인거 같아 여기서 주문했는덕 배송도 빠르고 특히 포장이 너무 꼼꼼해서 놀랐습니다.
26,20,감자술13,zx82****,5.0,다음달에 이사를해서 더 구매하고싶어도 아직 못하고있엇요. 이사하고나면 더 많이 주문할게요 .ㅎㅎ 배송도 빠르고 서비스로 주신 작은 잔도 감사히 잘쓰겠습니다!
27,20,감자술13,nomo*****,5.0,맛보기 전이라 평을 하기엔... 안전하게 포장해주셔서 깨짐없이 왔습니다.
28,20,감자술13,yw94****,5.0,선물로 보냈는데 좋아하네요ㅎㅎ잔도 감사합니당 저도 곧 구입하려구요
29,20,감자술13,nsai***,4.0,감자의 특유의 맛보다 쌀 증류주 느낌이 강함.
30,20,감자술13,whit******,5.0,선물용으로보냈는데 친척언니가 좋아하네요^^ 깨진거 없이 잘간듯 택배도 빨리가서 좋았어요
31,20,감자술13,abca***,5.0,좋아요 ㅋㅋ ㅋㅋㅋ
32,20,감자술13,iamc******,5.0,감자 비율이 어마어마어마 매우 부드럽고 마치 와인 마시는 느낌입니다 대애박 !!!
33,20,감자술13,hwa8***,5.0,일반 소주 먹다 요런거 먹으니 향도 좋고 목넘김도 부드럽고 너무 좋네요 밖에서 소주 4~5천원주고 먹는거 생각하면 가격은 좀쎄지만 봐줄만하네여 ㅎㅎ
34,20,감자술13,spic****,5.0,감자술 맛있었어요 첫맛보다 뒷맛에 감자맛이 남습니다~
35,20,감자술13,su****,5.0,주말에 먹으려고 삿어여 굿굿
36,20,감자술13,skys****,5.0,와 어떤 맛인지 궁금. 불금에 딱 맞춰서 왔네요~감사합니다~!!
37,20,감자술13,chs1****,5.0,은은하니 맛있네요~
38,20,감자술13,sooj*******,5.0,완전 부드럽고 착 감기는 향기로운맛 강추강추
39,20,감자술13,whgu******,5.0,재구매너무 맛있어요..감자술 !
40,20,감자술13,lapu***,5.0,재구매포장도  잘되어  있고 소주처럼 알콜맛 안나고 아주좋아요
41,20,감자술13,lapu***,5.0,정말 부드럽고 좋아요
42,20,감자술13,rasv****,5.0,맛있게 먹었습니다. 요것도 맛있어요
43,20,감자술13,amar***,5.0,전통주 파티 했어요! 감자술이라고 고소한 감자 맛이 날거라 생각하면 전라도 오산 그냥 청하 느낌의 향이 좋은 술입니다 가볍게 먹기 좋은 술이에요  우렁이쌀 청주보다는 향이 약하지만 이 나름의 매력이 또 있습니다 저는 우렁이쌀 청주 > 감자술 > 서설 순서로 요 부류 술에 별점을 줄 것 같아요 ㅋㅋㅋ더보기
44,20,감자술13,eyes******,5.0,포장 꼼꼼해서 좋아요.
45,20,감자술13,tubi***,5.0,전통술 종류도 많고 가격도 합리적인거 같아 여기서 주문했는덕 배송도 빠르고 특히 포장이 너무 꼼꼼해서 놀랐습니다.
