index,제품명,향기,단맛,신맛,청량감,바디감,목넘김,균형감,담백,매운맛,씁쓸,탄닌감,탄산
49,그랑꼬또레드와인,,3.0,3.0,3.0,2.0,,,,,,,
50,그랑꼬또M56,,2.0,3.0,1.0,3.0,,,,,,,
51,그랑꼬또M5610,,4.0,3.0,3.0,2.0,,,,,,,
52,그랑꼬또로제와인,,2.0,3.0,1.0,3.0,,,,,,,
53,그랑꼬또청수,,2.0,1.0,3.0,4.0,,,,,,0.0,0.0
54,그랑꼬또화이트와인,,3.0,3.0,3.0,2.0,,,,,,,
55,그랑티그르CE2002,,3.0,2.0,2.0,3.0,,,,,,,
56,그랑티그르M1988,,3.0,3.0,2.0,3.0,,,,,,,
57,그랑티그르S1974,,1.0,3.0,2.0,4.0,,,,,,,
58,금산인삼주,,1.0,4.0,2.0,4.0,,,2.0,,2.0,,
59,금산인삼주수삼단본23,4.0,1.0,,,3.0,,,,2.0,,,
60,금산인삼주수삼단본43,4.0,1.0,,,4.0,,,,4.0,,,
61,금이산농원복숭아와인,,3.0,2.0,2.0,3.0,,,,,,2.0,0.0
62,금이산농원사과와인,,3.0,2.0,2.0,3.0,,,,,,,
63,금이산농원오가피와인,,3.0,2.0,2.0,3.0,,,,,,,
64,금정산성막걸리,,1.0,3.0,2.0,3.0,,,,,,,
65,기다림16,,2.0,4.0,2.0,3.0,,,,,,,
66,기다림25,,2.0,4.0,2.0,2.0,,,,,,,
67,기다림34,,3.0,3.0,3.0,3.0,,,,,,,
68,기다림맑은술,,4.0,3.0,3.0,3.0,,,,,,,
69,김천과하주16,,1.0,2.0,1.0,2.0,,,,,,,
70,김천과하주23,1.0,1.0,,,2.0,,,,,,,
71,김포막걸리,,2.0,2.0,3.0,1.0,,,,,,,
72,김포별주,,3.0,1.0,1.0,3.0,,,,,,,
73,김포약주,,1.0,2.0,1.0,2.0,,,,,,,
74,김포예주,,2.0,1.0,1.0,4.0,,,,,,,
75,김포특주,,4.0,4.0,2.0,2.0,,,3.0,,4.0,,
76,까메오막걸리,,3.0,1.0,2.0,4.0,,,,,,,
77,나루생막걸리11.5,,4.0,1.0,1.0,5.0,,,2.0,,,,0.0
78,나루생막걸리6,,3.0,3.0,2.0,2.0,,,2.0,,,,0.0
79,남산애레드와인,,3.0,3.0,3.0,2.0,,,,,,,
80,남산애포트와인,,3.0,3.0,2.0,3.0,,,,,,,
81,내장산복분자주,,1.0,3.0,,2.0,3.0,,,,,,
82,녹고의눈물,2.0,2.0,,,3.0,,,,,,,
83,녹천소곡화주,3.0,2.0,,,3.0,,,,,,,
84,녹천한산소곡주살균,,4.0,1.0,1.0,2.0,,,,,,,
85,녹천한산소곡주생,,4.0,1.0,1.0,2.0,,,,,,,
86,녹파주,,3.0,2.0,2.0,3.0,,,4.0,,3.0,,
87,뉴트로,,4.0,4.0,4.0,3.0,,,,,,,
88,느린마을막걸리,,3.0,1.0,3.0,2.0,,,,,,,
89,능이주,,1.0,3.0,1.0,2.0,,,3.0,,4.0,,
90,니모메,,2.0,1.0,1.0,2.0,,,3.0,,4.0,,
91,다래와인3004,,2.0,2.0,1.0,2.0,,,,,,,
92,다래와인7004D,,1.0,4.0,2.0,2.0,,,,,,,
93,다래와인7004S,,2.0,2.0,1.0,4.0,,,,,,,
94,다랭이팜생막걸리,,1.0,4.0,4.0,4.0,,,,,,,
95,다랭이팜생막걸리흑미,,1.0,5.0,2.0,2.0,,,,,,,
96,다랭이팜유자막걸리,,1.0,5.0,2.0,4.0,,,,,,,
97,담솔,,3.0,0.0,3.0,3.0,,,,2.0,,,
98,담양죽력고,4.0,,,,3.0,3.0,,,,,,
99,담은,,3.0,1.0,1.0,4.0,,,2.0,,,,0.0
100,당당하리,,4.0,2.0,2.0,2.0,,,,,,,
101,대관령복분자주,,1.0,2.0,1.0,4.0,,,,,,,
102,대대포생막걸리,,2.0,1.0,3.0,2.0,,,,,,,
103,대윤가야곡왕주,,2.0,2.0,1.0,3.0,,,,,,,
104,대잎생동동주,,1.0,2.0,3.0,2.0,,,,,,,
105,대작생막걸리,,4.0,3.0,3.0,3.0,,,,,,,
106,대통대잎술,,1.0,1.0,,2.0,4.0,,,,,,
107,도구막걸리,,2.0,2.0,3.0,3.0,,,,,,,
108,도깨비술11,,4.0,4.0,3.0,5.0,,,,,,,
109,도깨비술7,,3.0,3.0,4.0,3.0,,,,,,,
110,도깨비술9,,3.0,3.0,3.0,4.0,,,,,,,
111,도로시머루주,,4.0,4.0,3.0,3.0,,,,,,,
112,도문대작생막걸리,,1.0,3.0,3.0,2.0,,,,,,,
113,독산53,2.0,,,,3.0,5.0,,,4.0,,,
114,동강더덕주,3.0,3.0,,,2.0,,,,,,,
115,동몽,,2.0,3.0,1.0,3.0,,,3.0,,3.0,,
116,동정춘,,4.0,3.0,2.0,3.0,,,,,,,
117,동정춘막걸리산정호수,,5.0,1.0,4.0,4.0,,,,,,,
118,동학1957,,3.0,3.0,2.0,3.0,,,4.0,,3.0,,
119,동해동동주,,2.0,1.0,3.0,2.0,,,,,,,
120,두레앙22,1.0,,,,4.0,2.0,,,2.0,,,
121,두레앙브랜디,4.0,3.0,,,3.0,,,,,,,
122,두레앙와인,,2.0,2.0,1.0,4.0,,,,,,,
123,두레앙증류주,2.0,2.0,,,2.0,,,,4.0,,,
124,두리향,3.0,,,,4.0,3.0,,,,,,
125,두유노,,2.0,3.0,3.0,3.0,,,,,,,
126,라이스퐁당13,,3.0,2.0,1.0,3.0,,,2.0,,2.0,,
127,라이스퐁당17,,3.0,3.0,1.0,4.0,,,,,,,
128,레돔내추럴스파클링로제와인,,3.0,3.0,4.0,2.0,,,,,,,
129,레돔시드르,,3.0,3.0,4.0,2.0,,,,,,,
130,려25,3.0,1.0,,,1.0,,,,3.0,,,
131,려고구마증류소주25,2.0,1.0,,,3.0,,,,3.0,,,
132,려고구마증류소주40,2.0,2.0,,,3.0,,,,3.0,,,
133,로얄안동소주18년,1.0,3.0,,,4.0,,,,,,,
134,르깔롱,4.0,,,,4.0,4.0,,,,,,
135,마셔블랑,,3.0,3.0,3.0,2.0,,,,,,,
136,마주소곡주,,4.0,3.0,2.0,4.0,,,3.0,,4.0,,
137,마주소곡화주,3.0,,,,4.0,3.0,,,,,,
138,막시모40,4.0,,,,3.0,3.0,,,4.0,,,
139,만강에비친달,,2.0,3.0,3.0,3.0,,,3.0,,,,0.0
140,맑은내일Winery단감명작,,3.0,2.0,3.0,2.0,,,,,,2.0,0.0
141,맑은내일발효막걸리,,3.0,3.0,3.0,4.0,,,,,,,
142,맑은내일우포,,3.0,2.0,2.0,2.0,,,4.0,,2.0,,
143,맑은문희주,,3.0,1.0,1.0,4.0,,,2.0,,1.0,,
144,맑은술해밀,,3.0,2.0,2.0,2.0,,,,,,,
145,매실막걸리,,3.0,2.0,1.0,5.0,,,,,,,
146,매실원주15,2.0,3.0,,,3.0,,,,,,,
147,매실향기담은술,,3.0,3.0,3.0,3.0,,,3.0,,3.0,,
148,머루이야기,,3.0,1.0,1.0,4.0,,,,,,,
149,머르드서드라이,,2.0,4.0,3.0,4.0,,,,,,,
150,머르드서스위트,,4.0,3.0,3.0,4.0,,,,,,,
151,메로니아,,4.0,1.0,5.0,4.0,,,,,,,
152,메밀로,3.0,,,,4.0,3.0,,,,,,
153,면천두견주,,3.0,1.0,1.0,3.0,,,2.0,,3.0,,
154,명가원복분자술,,3.0,1.0,,3.0,,,,,,,
155,명술,2.0,2.0,,,3.0,,,,,,,
156,명인안동소주22,1.0,1.0,,,2.0,,,,,,,
157,명인안동소주양반탈,1.0,1.0,,,3.0,,,,,,,
158,명인안동소주호리병,1.0,1.0,,,3.0,,,,,,,
159,명인홍삼주,,1.0,3.0,2.0,4.0,,,,,,,
160,명작복분자,,3.0,1.0,1.0,5.0,,,,,,,
161,명품진도홍주,3.0,3.0,,,3.0,,,,,,,
162,모월로,3.0,,,,2.0,2.0,,,2.0,,,
163,모월연,,1.0,3.0,1.0,2.0,,,,,,,
164,모월인,4.0,,,,3.0,3.0,,,4.0,,,
165,모월청,,1.0,3.0,2.0,3.0,,,,,,,
166,모을동주소주,3.0,,,,4.0,4.0,,,,,,
167,모을동주약주,,4.0,3.0,3.0,4.0,,,,,,,
168,무주구천동머루와인,,2.0,2.0,1.0,3.0,,,,,,,
169,무주구천동산머루주,,2.0,2.0,1.0,3.0,,,,,,,
170,문경바람백자25,3.0,,,,3.0,4.0,,,3.0,,,
171,문경바람백자40,3.0,,,,4.0,4.0,,,3.0,,,
172,문경바람오크,4.0,,,,4.0,4.0,,,4.0,,,
173,문경주조오미자생막걸리,,2.0,3.0,2.0,4.0,,,3.0,,,,1.0
174,문배술헤리티지23,2.0,1.0,,,1.0,,,,,,,
175,문배술헤리티지25,2.0,1.0,,,1.0,,,,2.0,,,
176,문배술헤리티지40,2.0,2.0,,,3.0,,,,4.0,,,
177,문희문경오미자수제전통주,,3.0,1.0,3.0,3.0,,,2.0,,,,0.0
178,문희햇찹쌀수제전통주,,3.0,1.0,2.0,3.0,,,2.0,,,,0.0
179,미르25,,2.0,0.0,1.0,3.0,,,,3.0,,,
180,미르40,,1.0,0.0,0.0,2.0,,,,4.0,,,
181,미생막걸리,,2.0,3.0,3.0,3.0,,,,,,,
182,미소생막걸리,,3.0,3.0,3.0,2.0,,,,,,,
183,미소아이스,,4.0,1.0,,3.0,2.0,,,,,,
184,미인약주,,4.0,1.0,1.0,2.0,,,,,,,
185,미인탁주,,3.0,1.0,1.0,3.0,,,,,,,
186,민속주안동소주,1.0,1.0,,,4.0,,,,,,,
187,바랑탁,,4.0,2.0,1.0,4.0,,,2.0,,,,0.0
188,밤꽃향기,,5.0,2.0,2.0,2.0,,,,,,,
189,방문주약주,,2.0,3.0,3.0,3.0,,,,,,,
190,방문주탁주,,2.0,3.0,3.0,4.0,,,,,,,
191,배꽃담은연생막걸리,,3.0,3.0,4.0,2.0,,,,,,,
192,배도가로아19레드,4.0,2.0,,,2.0,2.0,,,,,,
193,배도가로아40옐로우,2.0,2.0,,,3.0,,,,,,,
194,백년향,,3.0,3.0,2.0,3.0,,,4.0,,,,0.0
195,백련맑은술,,2.0,2.0,1.0,4.0,,,3.0,,4.0,,
196,백련생막걸리Misty,,2.0,3.0,4.0,4.0,,,3.0,,,,0.0
197,백련생막걸리Snow,,2.0,2.0,2.0,4.0,,,,,,,
198,백운복분자와인,,2.0,2.0,1.0,5.0,,,,,,,
199,백운복분자주,,3.0,2.0,2.0,4.0,,,,,,,
200,백이주,,2.0,2.0,1.0,3.0,,,,,,,
201,백자주,,3.0,3.0,2.0,3.0,,,,,,,
202,뱅꼬레레드와인,,3.0,4.0,2.0,2.0,,,,,,,
203,뱅꼬레로제와인,,4.0,3.0,3.0,2.0,,,,,,,
204,뱅꼬레아이스와인,,5.0,2.0,2.0,4.0,,,,,,,
205,뱅꼬레화이트와인,,4.0,3.0,3.0,2.0,,,,,,,
206,베베마루캠벨로제,,3.0,1.0,1.0,3.0,,,,,,,
207,베베마루캠벨로제스위트,,2.0,2.0,1.0,3.0,,,,,,,
208,별바랑,,4.0,2.0,2.0,4.0,,,3.0,,2.0,,
209,병영설성동동주,,2.0,2.0,3.0,2.0,,,,,,,
210,병영설성생막걸리,,3.0,2.0,2.0,2.0,,,,,,,
211,병영설성사또,4.0,,,,3.0,3.0,,,4.0,,,
212,병영소주,,3.0,0.0,3.0,4.0,,,,4.0,,,
213,복분자아락,3.0,2.0,,,3.0,,,,,,,
214,복분자음,,2.0,2.0,1.0,3.0,,,,,,,
215,복순도가손막걸리,,2.0,3.0,5.0,4.0,,,2.0,,,,1.0
216,볼빨간막걸리10,,1.0,5.0,4.0,4.0,,,2.0,,,,0.0
217,볼빨간막걸리7,,1.0,4.0,3.0,2.0,,,,,,,
218,봉하쌀생막걸리,,1.0,2.0,3.0,2.0,,,,,,,
219,부안참뽕막걸리,,2.0,1.0,3.0,3.0,,,,,,,
220,부안참뽕와인,,3.0,2.0,1.0,4.0,,,,,,2.0,0.0
221,부자10,,4.0,1.0,1.0,2.0,,,4.0,,,,0.0
222,불소곡주,3.0,2.0,,,4.0,,,,,,,
223,붉은원숭이,,4.0,2.0,2.0,4.0,,,4.0,,,,0.0
224,블루베리이야기,,3.0,1.0,1.0,3.0,,,,,,,
225,산내울복분자주,,4.0,4.0,3.0,3.0,,,,,,,
226,산내울사과애주,,4.0,4.0,3.0,2.0,,,,,,,
227,산내울오미자주,,2.0,3.0,3.0,2.0,,,,,,,
228,산막대덕주,,3.0,1.0,1.0,2.0,,,,,,,
229,산막생유막걸리,,1.0,3.0,3.0,4.0,,,,,,,
230,삼선,,1.0,4.0,2.0,2.0,,,,,,,
231,삼양춘생약주,,2.0,1.0,1.0,2.0,,,3.0,,3.0,,
232,삼양춘생탁주,,2.0,1.0,1.0,4.0,,,3.0,,,,0.0
233,삼양춘청주,,3.0,4.0,2.0,3.0,,,4.0,,3.0,,
234,샤토미소랑,,4.0,3.0,2.0,2.0,,,,,,0.0,0.0
235,샤토미소레드프리미엄드라이,,2.0,3.0,2.0,3.0,,,,,,,
236,샤토미소스위트,,3.0,1.0,,3.0,4.0,,,,,,
237,샤토미소스위트로제,,3.0,1.0,,2.0,4.0,,,,,2.0,0.0
238,샤토미소영동,3.0,,,,4.0,2.0,,,4.0,,,
239,샹스프랑보아즈,,4.0,3.0,3.0,2.0,,,,,,,
240,서울의밤,4.0,,,,2.0,1.0,,,3.0,,,
241,서주16,,3.0,2.0,3.0,3.0,,,,,,,
242,석로주,,1.0,1.0,1.0,4.0,,,,,,,
243,석탄주약주,,1.0,3.0,2.0,3.0,,,,,,,
244,석탄주탁주,,2.0,3.0,3.0,4.0,,,,,,,
245,선운산복분자와인,,4.0,4.0,3.0,2.0,,,,,,,
246,선운산복분자주,,4.0,4.0,3.0,2.0,,,,,,,
247,선운산복분자주프리미엄,,4.0,3.0,3.0,2.0,,,,,,,
248,선운산의아침복분자막걸리,,2.0,2.0,1.0,4.0,,,,,,,
249,선호생막걸리,,2.0,3.0,3.0,3.0,,,3.0,,,,1.0
250,설궁,2.0,2.0,,,2.0,,,,,,,
251,설레온,1.0,2.0,,,3.0,,,,,,,
252,설련주,,2.0,4.0,2.0,3.0,,,,,,,
253,설성만월막걸리,,2.0,3.0,2.0,3.0,,,,,,,
254,설하담,,3.0,1.0,4.0,2.0,,,2.0,,,,1.0
255,성포생막걸리,,3.0,3.0,3.0,3.0,,,,,,,
256,세우리,5.0,,,,4.0,3.0,,,,,,
257,세종대왕어주약주,,3.0,1.0,1.0,3.0,,,3.0,,2.0,,
258,세종대왕어주탁주,,3.0,3.0,1.0,2.0,,,4.0,,,,0.0
259,세종쌀막걸리,,3.0,1.0,3.0,3.0,,,,,,,
260,세종알밤주,,4.0,1.0,3.0,4.0,,,3.0,,,,0.0
261,세종오가닉,,1.0,3.0,,1.0,3.0,,,,,,
262,세종청주생막걸리,,2.0,1.0,3.0,3.0,,,,,,,
263,소나무와학,3.0,4.0,,,4.0,,,,,,,
264,소백산검은콩막걸리,,3.0,1.0,1.0,3.0,,,,,,,
265,소백산생막걸리,,2.0,3.0,2.0,4.0,,,,,,,
266,소백산생만찬주,,2.0,2.0,2.0,2.0,,,,,,,
267,소백산오곡진상주,,1.0,4.0,3.0,3.0,,,,,,,
268,소백산청동동주,,2.0,1.0,2.0,2.0,,,,,,,
269,소양강생막걸리,,1.0,3.0,2.0,3.0,,,,,,,
270,솔송주,,2.0,1.0,,3.0,3.0,,4.0,,2.0,,
271,송명섭막걸리,,1.0,3.0,3.0,3.0,,,,,,,
272,송이주,,1.0,4.0,1.0,2.0,,,1.0,,1.0,,
273,송화백일주,,,,3.0,3.0,3.0,,,,,,
274,순향주,,2.0,2.0,2.0,2.0,,,,,,,
275,술공방9,,3.0,2.0,1.0,3.0,,,4.0,,,,1.0
276,술그리다생탁주,,2.0,1.0,1.0,1.0,,,3.0,,,,
277,술샘이화주,,4.0,1.0,0.0,1.0,,,,,,,
278,술아국화주,,4.0,3.0,2.0,4.0,,,2.0,,2.0,,
279,술아막걸리,,3.0,4.0,3.0,4.0,,,,,,,
280,술아매화주,,5.0,3.0,2.0,4.0,,,2.0,,2.0,,
281,술아순곡주,,5.0,3.0,2.0,5.0,,,2.0,,1.0,,
282,술아연화주,,5.0,3.0,2.0,4.0,,,2.0,,1.0,,
283,술예쁘다생탁주,,1.0,3.0,1.0,2.0,,,,,,,
284,술취한원숭이,,4.0,2.0,2.0,2.0,,,4.0,,,,0.0
285,술헤는밤,,2.0,4.0,2.0,3.0,,,,,,,
286,스타베리오디와인,,3.0,4.0,3.0,3.0,,,,,,,
287,시나브로드글로리아,,3.0,3.0,2.0,2.0,,,,,,,
288,시나브로레드드라이,,2.0,3.0,3.0,3.0,,,,,,,
289,시나브로레드스위트,,3.0,3.0,3.0,2.0,,,,,,,
290,시나브로로제와인,,3.0,3.0,3.0,3.0,,,,,,,
291,시나브로에뚜왈로제스파클링와인,,2.0,3.0,4.0,2.0,,,,,,2.0,1.0
292,시나브로에뚜왈스파클링,,3.0,3.0,4.0,2.0,,,,,,0.0,1.0
293,시나브로화이트와인,,4.0,4.0,4.0,3.0,,,,,,,
294,시인의마을우리쌀막걸리,,2.0,3.0,3.0,4.0,,,,,,,
295,신례명주,,,,4.0,4.0,2.0,,,5.0,,,
296,신선주,,3.0,3.0,2.0,4.0,,,,,,,
297,신선주백주,,2.0,3.0,1.0,3.0,3.0,,,,,,
298,신선주약주,,3.0,3.0,3.0,3.0,,,2.0,,4.0,,
299,신선주증류주,4.0,,4.0,,3.0,2.0,,,,,,
300,심플리애플,4.0,4.0,,,1.0,2.0,3.0,,,,,
301,아이싱,,3.0,1.0,1.0,3.0,,,,,,,
302,아이원막걸리,,3.0,3.0,3.0,2.0,,,,,,,
303,아황주,,1.0,3.0,1.0,3.0,,,,,,,
304,안동소주느낌19.8,2.0,,,,2.0,2.0,,,,,,
305,안동소주느낌30,3.0,,,,3.0,3.0,,,,,,
306,안동소주일품17,1.0,3.0,,,2.0,,,,2.0,,,
307,안동소주일품21,1.0,3.0,,,2.0,,,,3.0,,,
308,안동소주일품골드,1.0,3.0,,,3.0,,,,4.0,,,
309,안동소주필Feel,3.0,,,,3.0,4.0,,,,,,
310,안성맞춤생막걸리,,3.0,2.0,3.0,2.0,,,,,,,
311,안양동동주,,3.0,3.0,3.0,3.0,,,,,,,
312,애석,,4.0,1.0,3.0,3.0,,,,,,,
313,애피소드상그리아,,4.0,4.0,4.0,2.0,,,,,,2.0,1.0
314,애피소드애플,,4.0,4.0,4.0,2.0,,,,,,1.0,1.0
315,애피소드호프,,4.0,4.0,4.0,2.0,,,,,,,
316,야관문막걸리,,1.0,3.0,2.0,1.0,,,,,,,
317,양촌생동동주,,2.0,3.0,2.0,2.0,,,,,,,
318,양촌생막걸리,,2.0,2.0,3.0,2.0,,,,,,,
319,어우야,2.0,,,,2.0,3.0,,,,,,
320,여강,3.0,,,,3.0,3.0,,,,,,
321,여포의꿈레드드라이,,2.0,2.0,,2.0,2.0,,,,,3.0,0.0
322,여포의꿈레드스위트,,4.0,1.0,,3.0,2.0,,,,,3.0,1.0
323,여포의꿈화이트,,1.0,2.0,,2.0,2.0,,,,,0.0,0.0
324,연천아주,,2.0,4.0,3.0,3.0,,,,,,,
325,연천연주,,2.0,4.0,2.0,3.0,,,,,,,
326,연천우주,3.0,,,,3.0,2.0,,,,,,
327,영일만친구막걸리,,2.0,2.0,3.0,2.0,,,,,,,
328,예담은한산소곡주,,4.0,1.0,1.0,3.0,,,,,,,
329,예담은한산소곡화주,2.0,3.0,,,3.0,,,,,,,
330,예밀와인레드드라이,,1.0,1.0,2.0,3.0,,,,,,,
331,예밀와인로제,,1.0,1.0,2.0,3.0,,,,,,,
332,예밀와인레드스위트,,4.0,1.0,2.0,3.0,,,,,,,
333,예주,,1.0,3.0,1.0,3.0,,,,,,,
334,예천주복만월24,3.0,,,,2.0,2.0,,,3.0,,,
335,예천주복만월40,4.0,,,,4.0,3.0,,,4.0,,,
336,예천주사월24,3.0,,,,2.0,2.0,,,,,,
337,예천주사월36.5,3.0,,,,2.0,3.0,,,,,,
338,예화,,2.0,1.0,1.0,3.0,,,,,,,
339,옛날막걸리古,,2.0,2.0,1.0,4.0,,,,,,,
340,오디랑,,3.0,1.0,,1.0,3.0,,,,,,
341,오매백주,,5.0,1.0,1.0,1.0,,,3.0,,,,0.0
342,오메기맑은술,,1.0,5.0,1.0,3.0,,,,,,,
343,오메기술,,2.0,2.0,1.0,3.0,,,3.0,,2.0,,
344,오매락퍽,3.0,3.0,,,4.0,,,,,,,
345,오목대,,2.0,3.0,4.0,3.0,,,,,,,
346,오미로제프리미어와인,,3.0,4.0,4.0,4.0,,,,,,4.0,0.0
347,오미시앙스페셜,,1.0,3.0,,2.0,2.0,,,,,,
348,오산막걸리,,2.0,4.0,2.0,3.0,,,4.0,,,,0.0
349,오희스파클링막걸리,,1.0,3.0,3.0,2.0,,,3.0,,,,1.0
350,왕율주,3.0,,,,3.0,3.0,,,,,,
351,왕피천을품은미소생막걸리,,3.0,3.0,3.0,2.0,,,,,,,
352,우곡생주,,4.0,2.0,2.0,5.0,,,,,,,
353,우도땅콩전통주,,4.0,1.0,3.0,3.0,,,3.0,,,,0.0
354,우렁이쌀손막걸리,,4.0,1.0,3.0,2.0,,,,,,,
355,운암1945,,3.0,3.0,,3.0,,3.0,3.0,,2.0,,
356,원매,4.0,,,,3.0,1.0,,,1.0,,,
357,원매프리미엄,3.0,2.0,,,4.0,,,,,,,
358,원조소곡화주,3.0,,,,2.0,3.0,,,,,,
359,원조한산소곡주,,3.0,1.0,4.0,2.0,,,,,,,
360,월매쌀막걸리,,2.0,2.0,3.0,1.0,,,,,,,
361,유기농이도14,,3.0,3.0,3.0,2.0,,,,4.0,,,
362,유기농이도42,,2.0,0.0,0.0,3.0,,,,,,,
363,유자동동주,,2.0,3.0,3.0,3.0,,,,,,,
364,유자생막걸리,,2.0,3.0,3.0,5.0,,,,,,,
365,율무동동주,,2.0,4.0,3.0,4.0,,,,,,,
366,은자골곶감생탁배기,,1.0,1.0,3.0,5.0,,,,,,,
367,은자골생탁배기,,1.0,3.0,3.0,3.0,,,,,,,
368,이강주19,,2.0,0.0,2.0,4.0,,,,,,,
369,이강주25,,2.0,0.0,2.0,2.0,,,,3.0,,,
370,이도32,2.0,2.0,,,2.0,3.0,3.0,,4.0,,,
371,이동생쌀막걸리,,1.0,3.0,3.0,4.0,,,,,,,
372,이동쌀막걸리,,3.0,1.0,1.0,3.0,,,,,,,
373,이상헌약주,,3.0,3.0,3.0,3.0,,,,,,,
374,이상헌탁주,,2.0,3.0,3.0,3.0,,,,,,,
375,이화백주,,3.0,3.0,4.0,3.0,,,,,,,
376,인천생소성주,,1.0,2.0,1.0,2.0,,,,,,,
377,입장탁주,,2.0,2.0,2.0,2.0,,,,,,,
378,자두와인레드,,2.0,3.0,2.0,2.0,,,,,,,
379,자두와인화이트,,2.0,3.0,2.0,4.0,,,,,,,
380,자연담은복분자막걸리,,2.0,1.0,1.0,5.0,,,2.0,,,,0.0
381,자연송이주,1.0,1.0,,,1.0,,,,,,,
382,자희향국화주,,1.0,2.0,1.0,4.0,,,,,,,
383,자희향나비생탁주,,2.0,1.0,2.0,2.0,,,,,,,
384,자희향탁주,,2.0,2.0,1.0,3.0,,,,,,,
385,장수생막걸리,,2.0,3.0,3.0,3.0,,,,,,,
386,장수오미자주,,3.0,4.0,4.0,3.0,,,,,,2.0,0.0
387,장홍삼장수막걸리,,1.0,4.0,3.0,5.0,,,,,,,
388,정고집나주배약주15,,4.0,2.0,3.0,2.0,,,3.0,,3.0,,
389,정고집나주배약주9,,4.0,2.0,3.0,3.0,,,,,,,
390,정고집나주쌀생막걸리,,3.0,3.0,3.0,3.0,,,,,,,
391,정고집옛날생동동주,,3.0,3.0,4.0,3.0,,,,,,,
392,제주고소리술,4.0,,,,3.0,1.0,,,,,,
393,젤코바스페셜,,2.0,4.0,2.0,3.0,,,,,,,
394,젤코바캠벨와인,,3.0,4.0,2.0,3.0,,,,,,,
395,젤코바프리미엄와인,,1.0,4.0,2.0,4.0,,,,,,,
396,조선주조사,,3.0,3.0,2.0,3.0,,,,,,,
