page,total_index,name,label1,label2,label3,label4,label5,text1,text2,text3,text4,text5
225,,경성과하주,단맛,산미,씁쓸,바디감,담백,매우강함,매우약함,약함,강함,중간
226,,복단지,단맛,산미,씁쓸,바디감,담백,중간,강함,매우약함,중간,약함
227,416,진맥소주40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,강함,강함,강함
231,233,삼양춘청주,단맛,산미,씁쓸,바디감,담백,중간,중간,중간,중간,강함
240,348,오산막걸리,단맛,산미,담백,바디감,탄산,약함,약함,강함,강함,없음
241,341,오매백주,단맛,산미,담백,바디감,탄산,강함,약함,중간,강함,없음
243,,독산30,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,중간,강함,강함
244,113,독산53,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,강함,강함,강함
249,,문배술헤리티지선물세트,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,중간,중간,중간,약함
253,,오미로제연,단맛,산미,탄닌감,바디감,탄산,약함,강함,약함,중간,강함
254,,꿀샘16,고소한 향,화사한 향,맛의 강도,바디감,매운맛,없음,중간,중간,약함,중간
255,,부자진,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,강함
257,,토박이한산소곡주,단맛,산미,씁쓸,바디감,담백,강함,약함,중간,강함,중간
275,,문삼이공잣,단맛,산미,담백,바디감,탄산,강함,중간,중간,강함,없음
276,,왕율주33,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,강함,중간,약함
277,,애플사이더헤베,단맛,산미,탄닌감,바디감,탄산,약함,강함,약함,약함,약함
278,,시향가,단맛,산미,담백,바디감,탄산,중간,약함,중간,약함,없음
279,78,나루생막걸리6,단맛,산미,담백,바디감,탄산,강함,약함,약함,약함,없음
280,,커피냑,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,강함,매우강함,강함
281,,제주몬순커피주,단맛,산미,씁쓸,바디감,담백,강함,약함,약함,중간,강함
282,,문삼이공탁주,단맛,산미,담백,바디감,탄산,중간,강함,중간,중간,없음
283,,문삼이공약주,단맛,산미,씁쓸,바디감,담백,강함,강함,약함,중간,중간
284,249,선호생막걸리,단맛,산미,담백,바디감,탄산,약함,중간,중간,매우약함,강함
286,75,김포특주,단맛,산미,씁쓸,바디감,담백,중간,약함,강함,중간,중간
292,473,편백숲산소막걸리딸기스파클링,단맛,산미,담백,바디감,탄산,강함,강함,매우약함,중간,매우강함
293,,고도리체리와인,단맛,산미,탄닌감,바디감,탄산,강함,약함,중간,중간,없음
294,,고도리자두와인,단맛,산미,탄닌감,바디감,탄산,약함,강함,약함,중간,없음
295,465,크라테로제미디엄드라이,단맛,산미,탄닌감,바디감,탄산,약함,중간,중간,중간,없음
296,,크라테화이트스위트,단맛,산미,탄닌감,바디감,탄산,강함,중간,없음,중간,없음
297,,크라테산머루미디엄드라이,단맛,산미,탄닌감,바디감,탄산,약함,중간,중간,중간,없음
298,,크라테산머루드라이,단맛,산미,탄닌감,바디감,탄산,약함,강함,중간,중간,없음
299,,술샘19,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,중간,중간,중간,중간
300,,아이엠더문오리지널,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,약함
303,272,송이주,단맛,산미,씁쓸,바디감,담백,약함,강함,매우약함,중간,매우약함
304,89,능이주,단맛,산미,씁쓸,바디감,담백,약함,강함,강함,중간,중간
306,,대왕산삼생막걸리,단맛,산미,담백,바디감,탄산,강함,매우약함,약함,중간,약함
307,436,청남대블루베리생막걸리,단맛,산미,담백,바디감,탄산,중간,약함,중간,중간,중간
308,,와쥬블루,단맛,산미,탄닌감,바디감,탄산,중간,중간,매우약함,중간,중간
309,292,시나브로에뚜왈화이트스파클링와인,단맛,산미,탄닌감,바디감,탄산,강함,중간,없음,약함,강함
310,,담화탁주,단맛,산미,담백,바디감,탄산,강함,약함,중간,강함,없음
312,,토박이소곡화주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,중간,강함,중간,강함
313,86,녹파주,단맛,산미,씁쓸,바디감,담백,약함,약함,중간,약함,강함
314,522,화주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,중간,중간,중간,약함
315,9,가덕순쌀생막걸리,단맛,산미,담백,바디감,탄산,약함,약함,강함,중간,중간
318,,배꽃필무렵잣잎,단맛,산미,담백,바디감,탄산,중간,강함,중간,매우강함,없음
320,77,나루생막걸리11.5,단맛,산미,담백,바디감,탄산,매우강함,약함,약함,강함,없음
324,,려증류소주40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,강함,강함,매우강함
325,,밀담24,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,중간,강함,약함
326,,밀담40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,강함
327,,미상25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,중간,약함,약함
330,,264청포도와인꽃,단맛,산미,탄닌감,바디감,탄산,중간,중간,없음,중간,없음
331,,264청포도와인절정,단맛,산미,탄닌감,바디감,탄산,약함,강함,없음,중간,없음
332,,264청포도와인광야,단맛,산미,탄닌감,바디감,탄산,약함,중간,중간,중간,없음
333,306,안동소주일품17,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,약함,중간,중간,약함
334,307,안동소주일품21,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,중간,중간,중간,중간
335,,안동소주일품40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,중간,강함,강함,강함
339,147,매실향기담은술,단맛,산미,씁쓸,바디감,담백,중간,강함,중간,중간,중간
340,59,금산인삼주수삼23,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,약함,중간,중간,약함
343,,제주허니와인오어,단맛,산미,탄닌감,바디감,탄산,강함,중간,약함,중간,없음
344,,제주허니와인오어루비,단맛,산미,탄닌감,바디감,탄산,강함,중간,약함,중간,없음
345,130,려증류소주25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,중간,중간,중간,중간
346,254,설하담,단맛,산미,담백,바디감,탄산,중간,중간,약함,약함,약함
350,115,동몽,단맛,산미,씁쓸,바디감,담백,중간,강함,중간,강함,중간
351,,오크랜드,단맛,산미,탄닌감,바디감,탄산,약함,강함,매우약함,중간,중간
352,61,금이산복숭아와인,단맛,산미,탄닌감,바디감,탄산,강함,약함,약함,중간,없음
353,,부자진오미자,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,강함
354,58,금산인삼주약주,단맛,산미,씁쓸,바디감,담백,약함,강함,약함,약함,약함
357,131,려고구마증류소주25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,약함,강함,중간,중간
358,132,려고구마증류소주40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,매우강함,강함,중간
362,,별산막걸리,단맛,산미,담백,바디감,탄산,강함,강함,중간,강함,없음
363,,루드베리,단맛,산미,탄닌감,바디감,탄산,중간,강함,없음,중간,중간
1007,,겨울소주45,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,강함,강함,강함
1008,417,진맥소주53,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우강함,약함,매우강함,매우강함,매우강함
1013,370,이도32,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,강함,강함,강함
1014,361,이도42,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,강함,강함,강함
1015,,감사블루,단맛,산미,씁쓸,바디감,담백,매우약함,중간,강함,중간,중간
1016,180,미르40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,강함,강함,강함
1018,,미르54,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,매우강함,매우강함,매우강함
1019,170,문경바람백자25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,중간,중간,중간
1020,39,고소리술40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,매우약함,강함,매우강함,강함
1021,,문경바람오크25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,중간,중간,중간
1037,,오메기술15,단맛,산미,씁쓸,바디감,담백,중간,약함,매우약함,중간,강함
1043,334,만월24,고소한 향,화사한 향,맛의 강도,바디감,매운맛,없음,강함,중간,중간,중간
1049,,금설,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,강함,강함,강함
1050,,한청,단맛,산미,씁쓸,바디감,담백,중간,중간,약함,중간,중간
1051,,궁중술왕주,단맛,산미,씁쓸,바디감,담백,중간,중간,약함,중간,중간
1052,,대대포블루,단맛,산미,담백,바디감,탄산,중간,약함,중간,약함,없음
1054,335,만월40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,매우강함,매우강함,강함,강함
1055,175,문배술25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,중간,중간,중간,약함
1057,,용봉약주오향주,단맛,산미,씁쓸,바디감,담백,강함,약함,중간,중간,중간
1058,,용봉백주오향주,단맛,산미,담백,바디감,탄산,약함,매우약함,중간,강함,없음
1059,,멜론서리,단맛,산미,탄닌감,바디감,탄산,약함,중간,약함,중간,중간
1060,,시나브로청수화이트,단맛,산미,탄닌감,바디감,탄산,중간,중간,없음,중간,없음
1061,291,시나브로에뚜왈로제스파클링와인,단맛,산미,탄닌감,바디감,탄산,매우강함,중간,약함,약함,강함
1062,,시나브로캠벨스위트,단맛,산미,탄닌감,바디감,탄산,중간,중간,약함,중간,없음
1063,450,추사백25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,중간,강함,중간
1064,,"동백꽃,제주",단맛,산미,탄닌감,바디감,탄산,강함,약함,없음,약함,없음
1065,,모리,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,약함,약함,중간,약함
1070,,벗이랑강황,단맛,산미,담백,바디감,탄산,강함,약함,강함,강함,없음
1071,,벗이랑조릿대,단맛,산미,담백,바디감,탄산,약함,약함,중간,강함,없음
1072,,벗이랑홍국,단맛,산미,담백,바디감,탄산,중간,약함,강함,강함,없음
1074,,삼천갑자동방주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,약함,중간,약함,약함
1085,,밀담52,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,매우강함,매우강함,매우강함,매우강함
1092,308,안동소주일품40골드,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,강함,강함,강함
1093,196,백련미스티살균막걸리,단맛,산미,담백,바디감,탄산,중간,약함,중간,중간,없음
1094,,고도리샤인머스캣와인망고포도,단맛,산미,탄닌감,바디감,탄산,강함,중간,없음,중간,없음
1095,,냥이탁주5fresh,단맛,산미,담백,바디감,탄산,중간,강함,약함,약함,없음
1096,,냥이탁주9,단맛,산미,담백,바디감,탄산,중간,강함,약함,중간,없음
1098,,부안해풍오디주,단맛,산미,탄닌감,바디감,탄산,강함,중간,약함,중간,없음
1099,,삼양춘탁주라이트,단맛,산미,담백,바디감,탄산,중간,중간,중간,강함,없음
1100,405,지란지교약주,단맛,산미,씁쓸,바디감,담백,강함,중간,약함,강함,약함
1101,406,지란지교탁주,단맛,산미,담백,바디감,탄산,중간,강함,중간,강함,없음
1102,404,지란지교무화과탁주,단맛,산미,담백,바디감,탄산,강함,중간,중간,강함,없음
1105,,솔섬17,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,중간,약함,약함
1106,,솔섬25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,강함,중간,중간
1107,138,막시모,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,매우강함,매우강함,강함,강함
1109,,무작53,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우강함,중간,매우강함,매우강함,매우강함
1110,,무작30,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,중간,강함,강함,강함
1111,,신애유자,단맛,산미,탄닌감,바디감,탄산,중간,강함,약함,중간,중간
1112,120,두레앙22,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,약함,중간,약함
1113,123,두레앙일반증류주35,고소한 향,화사한 향,맛의 강도,바디감,매운맛,없음,강함,강함,강함,강함
1115,322,여포의꿈레드와인스위트,단맛,산미,탄닌감,바디감,탄산,강함,중간,중간,중간,매우약함
1116,321,여포의꿈레드와인드라이,단맛,산미,탄닌감,바디감,탄산,매우약함,강함,중간,중간,없음
1118,139,만강에비친달,단맛,산미,담백,바디감,탄산,강함,중간,중간,중간,없음
1119,323,여포의꿈화이트와인,단맛,산미,탄닌감,바디감,탄산,중간,강함,없음,중간,없음
1122,164,모월인41,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,강함,강함,강함
1123,447,초선의꿈로제와인,단맛,산미,탄닌감,바디감,탄산,중간,강함,약함,약함,없음
1124,,치키피치,단맛,산미,탄닌감,바디감,탄산,중간,강함,매우약함,중간,중간
1125,,동짓달기나긴밤,단맛,산미,씁쓸,바디감,담백,중간,중간,강함,강함,중간
1126,,바람의노래,단맛,산미,담백,바디감,탄산,약함,강함,중간,중간,없음
1128,162,모월로25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,중간,중간,중간,약함
1129,,양조학당애,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,약함,강함,강함,강함
1132,,그랑꼬또랑로제와인,단맛,산미,탄닌감,바디감,탄산,강함,중간,약함,약함,없음
1134,53,그랑꼬또청수화이트와인,단맛,산미,탄닌감,바디감,탄산,매우약함,강함,없음,강함,없음
1136,,샤토미소웨딩자두와인,단맛,산미,탄닌감,바디감,탄산,중간,강함,약함,중간,없음
1137,237,샤토미소로제와인스위트,단맛,산미,탄닌감,바디감,탄산,중간,중간,약함,중간,없음
1138,,샤토미소퀸아이스와인,단맛,산미,탄닌감,바디감,탄산,매우강함,강함,없음,강함,없음
1139,,기다림백미약주,단맛,산미,씁쓸,바디감,담백,강함,강함,약함,중간,중간
1140,,기다림흑미약주,단맛,산미,씁쓸,바디감,담백,중간,강함,약함,중간,중간
1142,,동래아들,단맛,산미,담백,바디감,탄산,강함,매우약함,약함,중간,없음
1147,,보일러틀어놨어,단맛,산미,담백,바디감,탄산,중간,매우약함,중간,중간,없음
1149,234,샤토미소랑화이트와인스위트,단맛,산미,탄닌감,바디감,탄산,중간,강함,없음,약함,없음
1150,,샤토미소애플와인,단맛,산미,탄닌감,바디감,탄산,중간,강함,약함,약함,없음
1154,,아이엠더문아이스버켓특별패키지,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,약함
1156,238,샤토미소영동,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,강함,강함,강함
1157,,모든날에,단맛,산미,씁쓸,바디감,담백,약함,강함,강함,약함,강함
1158,,양지백주,단맛,산미,담백,바디감,탄산,중간,강함,중간,중간,없음
1164,,하얀까마귀,단맛,산미,담백,바디감,탄산,강함,중간,중간,강함,없음
1165,,여유40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,강함,강함,강함
1166,,한주25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,약함,약함,중간,중간
1167,,진도아리랑홍주40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,강함,강함,강함,중간
1169,,청비성,단맛,산미,씁쓸,바디감,담백,중간,강함,약함,강함,중간
1170,,달홀진주40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,강함,강함,강함
1171,,농태기25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,중간,중간,중간,중간
1177,355,운암1945,단맛,산미,씁쓸,바디감,담백,약함,강함,약함,강함,중간
1178,142,우포,단맛,산미,씁쓸,바디감,담백,중간,약함,약함,약함,강함
1187,,서설,단맛,산미,씁쓸,바디감,담백,약함,매우약함,약함,매우약함,강함
1188,,아카시아미드Batch3,단맛,산미,탄닌감,바디감,탄산,강함,약함,매우약함,중간,약함
1189,,얼떨결에퍼플,단맛,산미,담백,바디감,탄산,중간,강함,약함,약함,강함
1190,,용봉소주25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,중간,중간,중간,중간
1191,,삭제,단맛,산미,담백,바디감,탄산,중간,중간,중간,중간,없음
1196,386,장수오미자주,단맛,산미,탄닌감,바디감,탄산,강함,강함,약함,약함,없음
1198,,배금도가수제막걸리,단맛,산미,담백,바디감,탄산,약함,강함,중간,강함,없음
1199,,표문막걸리,단맛,산미,담백,바디감,탄산,중간,중간,중간,중간,없음
1201,380,자연담은복분자막걸리4병세트,단맛,산미,담백,바디감,탄산,강함,약함,약함,약함,없음
1202,,크라테자두와인,단맛,산미,탄닌감,바디감,탄산,중간,강함,중간,중간,없음
1203,,매화깊은밤,단맛,산미,씁쓸,바디감,담백,강함,중간,약함,중간,중간
1205,298,청주신선주약주16,단맛,산미,씁쓸,바디감,담백,약함,강함,강함,중간,약함
1207,532,희양산막걸리9,단맛,산미,담백,바디감,탄산,매우약함,중간,중간,약함,없음
1212,,보리수헤는밤,단맛,산미,씁쓸,바디감,담백,강함,강함,약함,중간,약함
1214,,"유채꽃,제주",단맛,산미,탄닌감,바디감,탄산,강함,약함,없음,약함,없음
1216,,안동국화주32,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,중간,중간,약함
1217,343,오메기술13,단맛,산미,씁쓸,바디감,담백,중간,약함,약함,중간,중간
1219,195,백련맑은술,단맛,산미,씁쓸,바디감,담백,약함,약함,강함,중간,중간
1220,,마실꾸지,단맛,산미,담백,바디감,탄산,중간,중간,중간,약함,매우약함
1221,,분홍탁주6,단맛,산미,담백,바디감,탄산,중간,약함,중간,약함,매우약함
1223,,상록수40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,강함,중간,약함
1224,,허니문배,단맛,산미,탄닌감,바디감,탄산,중간,중간,매우약함,중간,중간
1225,136,마주,단맛,산미,씁쓸,바디감,담백,약함,강함,강함,약함,중간
1227,388,나주배약주,단맛,산미,씁쓸,바디감,담백,중간,강함,중간,강함,중간
1230,,이상헌탁주14,단맛,산미,담백,바디감,탄산,매우약함,약함,강함,약함,매우약함
1231,,오미로제투게더,단맛,산미,탄닌감,바디감,탄산,약함,강함,약함,중간,없음
1234,,담은블랙,단맛,산미,담백,바디감,탄산,중간,매우약함,중간,중간,없음
1235,,낙안읍성막걸리,단맛,산미,담백,바디감,탄산,매우약함,강함,중간,중간,없음
1236,140,단감명작,단맛,산미,탄닌감,바디감,탄산,중간,강함,약함,중간,없음
1237,216,볼빨간막걸리10,단맛,산미,담백,바디감,탄산,약함,강함,약함,중간,없음
1238,126,라이스퐁당13,단맛,산미,씁쓸,바디감,담백,약함,매우강함,약함,강함,약함
1239,,금풍양조막걸리,단맛,산미,담백,바디감,탄산,중간,약함,중간,중간,없음
1241,118,동학1957,단맛,산미,씁쓸,바디감,담백,약함,강함,중간,약함,강함
1242,524,황금보리25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,중간,중간,중간,약함
1246,,라라,단맛,산미,탄닌감,바디감,탄산,매우약함,강함,없음,중간,없음
1247,,젤코바감와인,단맛,산미,탄닌감,바디감,탄산,중간,강함,약함,강함,없음
1248,,오디여라25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,중간,강함,중간,중간
1249,,고리진,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,매우강함,매우강함,강함,강함
1250,369,이강주25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,강함,중간,중간
1251,,어미실와인화이트스위트,단맛,산미,탄닌감,바디감,탄산,매우강함,강함,없음,강함,없음
1252,,바텐더의막걸리,단맛,산미,담백,바디감,탄산,중간,강함,강함,강함,없음
1253,,얠로펀치,단맛,산미,탄닌감,바디감,탄산,중간,강함,약함,중간,중간
1254,,오롯이복숭아스파클링와인,단맛,산미,탄닌감,바디감,탄산,강함,중간,중간,강함,강함
1255,,오매락25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,중간,중간,약함
1256,,7004S키위와인,단맛,산미,탄닌감,바디감,탄산,중간,강함,약함,강함,없음
1257,221,부자막걸리10,단맛,산미,담백,바디감,탄산,약함,강함,강함,강함,없음
1260,,왕주40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,강함,중간,중간
1261,,메밀로25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,중간,강함,강함,중간
1262,,백제소주25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,매우약함,중간,약함,중간,강함
1264,,감홍로,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,강함,매우강함,강함,강함
1265,,아리아리40,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,약함,약함,강함
1267,,여유19,고소한 향,화사한 향,맛의 강도,바디감,매운맛,약함,매우약함,약함,약함,약함
1268,,참주가솔막걸리,단맛,산미,담백,바디감,탄산,약함,약함,중간,약함,중간
1269,,참주가라봉막걸리,단맛,산미,담백,바디감,탄산,약함,강함,강함,약함,강함
1272,,주향소주25,고소한 향,화사한 향,맛의 강도,바디감,매운맛,강함,중간,강함,중간,중간
1274,,마크홀리오리지널6.0,단맛,산미,담백,바디감,탄산,강함,약함,중간,중간,없음
1275,60,금산인삼주수삼43,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,강함,매우강함,강함,강함
1278,,강릉소주,고소한 향,화사한 향,맛의 강도,바디감,매운맛,중간,약함,약함,약함,약함
